book_id	isbn	title	author	publisher	total_pages	cover_url
b262	9788937461934	왑샷 가문 몰락기	존 치버	민음사	422	https://image.aladin.co.kr/product/292/38/cover500/8937461935_2.jpg
b263	9788937461958	하드리아누스 황제의 회상록 1	마르그리트 유르스나르	민음사	260	https://image.aladin.co.kr/product/301/20/cover500/8937461951_2.jpg
b264	9788937461965	하드리아누스 황제의 회상록 2	마르그리트 유르스나르	민음사	350	https://image.aladin.co.kr/product/301/21/cover500/893746196x_2.jpg
b265	9788937461972	소피의 선택 1	윌리엄 스타이런	민음사	449	https://image.aladin.co.kr/product/304/58/cover500/8937461978_2.jpg
b266	9788937461989	소피의 선택 2	윌리엄 스타이런	민음사	491	https://image.aladin.co.kr/product/304/58/cover500/8937461986_2.jpg
b267	9788937461996	피츠제럴드 단편선 2	프랜시스 스콧 피츠제럴드	민음사	274	https://image.aladin.co.kr/product/307/97/cover500/8937461994_2.jpg
b268	9788937462016	요술 부지깽이	로버트 쿠버	민음사	382	https://image.aladin.co.kr/product/343/27/cover500/893746201x_2.jpg
b269	9788937462023	북호텔	외젠 다비	민음사	232	https://image.aladin.co.kr/product/343/27/cover500/8937462028_2.jpg
b270	9788937462030	톰 소여의 모험	마크 트웨인	민음사	460	https://image.aladin.co.kr/product/350/17/cover500/8937462036_2.jpg
b271	9788937462047	금오신화	김시습	민음사	173	https://image.aladin.co.kr/product/364/56/cover500/8937462044_2.jpg
b272	9788937462054	테스 1	토머스 하디	민음사	412	https://image.aladin.co.kr/product/364/56/cover500/8937462052_2.jpg
b273	9788937462061	테스 2	토머스 하디	민음사	348	https://image.aladin.co.kr/product/364/56/cover500/8937462060_2.jpg
b274	9788937462078	브루스터플레이스의 여자들	글로리아 네일러	민음사	357	https://image.aladin.co.kr/product/368/88/cover500/8937462079_2.jpg
b275	9788937462085	더 이상 평안은 없다	치누아 아체베	민음사	268	https://image.aladin.co.kr/product/375/18/cover500/8937462087_2.jpg
b276	9788937462092	그레인지 코플랜드의 세 번째 인생	앨리스 워커	민음사	434	https://image.aladin.co.kr/product/388/42/cover500/8937462095_2.jpg
